"id","publish","Sweet","Bitter","Half&Half","title","description","project","genre","genreGroup","style","vocal","グループ","mood","audio","image","imageFolder","note"
"1","1","1","","","まだ見ぬ世界へ","爽やかなギターアルペジオと男性ボーカルが流れる、前向きなフォークポップ。新しい一歩を踏み出したい朝に寄り添うエールソングです。","[エールソング]","J-Pop","J-Pop / Folk Pop","邦楽","男性","solo","爽やか、希望、旅立ち","./audio/aile-song/J-pop-まだ見ぬ世界へ.mp3","","solo","1"
"2","1","","","1","藍色のプラットホーム","夕暮れのプラットホームが舞台の昭和歌謡のようなフォークポップ。別れの情景を静かに見つめながら、最後には前を向く余韻を残します。","[エールソング]","J-Pop","J-Pop / Folk Pop","邦楽","女性","solo","昭和、切なさ、旅立ち","./audio/aile-song/J-pop-藍色のプラットホーム.mp3","","solo",""
"3","1","","","","旅立ちのうた","列車に乗って知らない場所へ出かけたくなる、爽やかなフォークソング。軽やかな歌声が、旅立ちの期待と少しの寂しさを運びます。","[エールソング]","J-Pop","J-Pop / Folk Pop","邦楽","女性","solo","爽やか、希望、旅立ち","./audio/aile-song/J-pop-旅立ちのうた.mp3","","solo",""
"4","1","1","","","感情の輪郭","曖昧な気持ちに少しずつ輪郭を与えていく、繊細なインディーポップ。内側にある迷いや不安を、前に進む力へ変えていく曲です。","[エールソング]","J-Pop","J-Pop / Indie Pop","邦楽","女性","solo","繊細、内省的、前向き","./audio/aile-song/J-pop-感情の輪郭ver1.mp3","","solo",""
"5","","","","","感情の輪郭ver2","「感情の輪郭」の別バージョン。より感情の揺れを前に出した歌唱で、同じテーマを少しドラマチックに描いています。","[エールソング]","J-Pop","J-Pop / Indie Pop","邦楽","女性","solo","繊細、余韻、前向き","./audio/aile-song/J-pop-感情の輪郭ver2.mp3","","solo",""
"6","1","","","","感情の輪郭ver3","「感情の輪郭」の男性ボーカル版。E.ClaptonのCircusをオマージュしたアコギのアレンジで、内省的な言葉に少し大人びた余韻を加えています。","[エールソング]","J-Pop","J-Pop / Indie Pop","邦楽","女性","solo","内省的、余韻、前向き","./audio/aile-song/J-pop-感情の輪郭ver3.mp3","","solo",""
"7","1","","","1","アップデートボーイ","変化の速い時代に戸惑う学生の心情を描いた、都会的なインディーポップ。軽やかさの奥に、少しビターな切実さがあります。","[エールソング]","J-Pop","J-Pop / Indie Pop","邦楽","男性","solo","都会的、青春、ビター","./audio/aile-song/J-pop-アップデートボーイ.mp3","","solo",""
"8","1","","","1","ノイズキャンセリングブルー","周囲のノイズから距離を置きたい気持ちを描いた、浮遊感のあるインディーポップ。学生の孤独と抵抗感を重ねています。","[エールソング]","J-Pop","J-Pop / Indie Pop","邦楽","女性","solo","浮遊感、青春、孤独","./audio/aile-song/J-pop-ノイズキャンセリングブルー.mp3","","solo",""
"9","1","1","","","白む空、溶け合う輪郭","神楽の気配とジャズ／フュージョンの響きが溶け合う、混声ハーモニーのアンビエント曲。夜明けの光が少しずつ広がるような余韻があります。元は高校時代に「サーカス」の前座をして啓発されて創作。","[愛・祈り・癒し]","Ambient","Ambient / Chorus","邦楽","混声","","夜明け、神秘的、透明感","./audio/healing/Healing-白む空、溶け合う輪郭.mp3","","healing","1"
"10","1","","","","常夜の水脈","深い夜の水脈をたどるようなベースラインのうえで混声ハーモニーが厳かに奏でるアンビエント曲。古い祈りのような気配が漂います。","[愛・祈り・癒し]","Ambient","Ambient / Chorus","邦楽","混声","","夜、透明感、深い","./audio/healing/Healing-常夜の水脈.mp3","","healing",""
"11","1","1","","","プシュケーの残響","言葉になる前の感情を淡い光にたとえる女性ボーカル曲。静けさと切なさがゆっくり広がる映画のシーンのようなアートポップ。","[愛・祈り・癒し]","Ambient","Ambient / Art Pop","邦楽","女性","solo","静か、切なさ、余韻","./audio/healing/Healing-プシュケーの残響.mp3","","healing",""
"12","1","","","","ゆらぐ光","けだるくアンニュイな空気をまとった、ゆっくりと揺れるような女性ボーカル曲。淡い光の中でまどろむように聴ける一曲です。","[愛・祈り・癒し]","Ambient","Ambient / Art Pop","邦楽","女性","solo","静か、浮遊感、余韻","./audio/healing/J-POP-ゆらぐ光.mp3","","healing",""
"13","1","","","","声にならないまま","大切な人を失った日に、伝えられなかった思いを、ギターの響きにのせた祈りのうた。帰りの電車のなかで詩を書いた。","[愛・祈り・癒し]","J-Pop","J-Pop / Folk Ballad","邦楽","男性","solo","祈り、余韻、温かい","./audio/healing/J-pop-声にならないまま.mp3","","healing","1"
"14","1","1","","","部屋に残るもの","大切な人に伝えられなかった思いをうたった「声にならないまま」をより丁寧にリニューアルした、ピアノ中心の祈りのうた。その時の部屋に残る気配や記憶を静かに見つめます。","[愛・祈り・癒し]","J-Pop","J-Pop / Folk Ballad","邦楽","男性","solo","祈り、余韻、バラード","./audio/healing/J-pop-部屋に残るもの.mp3","","healing","1"
"15","1","","","1","砂の城","少女漫画「砂の城」をモチーフにした、高校時代の自作曲のリニューアル。愛と切なさを、ギターの響きで静かに描く。変拍子と変調の凝ったアレンジにも注目。","[愛・祈り・癒し]","J-Pop","J-Pop / Folk Ballad","邦楽","男性","solo","愛、切なさ、余韻","./audio/healing/J-pop-砂の城.mp3","","healing","1"
"16","1","","1","","フレームを外して","「TRS7」による機械的なリズムが印象的なクールなポップロック。抑制された歌唱と硬質なビートで進みます。","[プロデュース作品]","J-Pop","J-Pop / Pop Rock","邦楽","女性","TRS7","クール、リズム、緊張感","./audio/produce/J-pop-TRS7-フレームを外して.mp3","","trs7",""
"17","1","","","","Stay closer, come closer","「TRS7」による攻撃的な歌唱とダークなリズムのポップロック。近づきたい気持ちと距離感の危うさを描きます。","[プロデュース作品]","J-Pop","J-Pop / Pop Rock","邦楽","女性","TRS7","クール、疾走感、緊張感","./audio/produce/J-pop-TRS7-Stay closer, come closer.mp3","","trs7",""
"18","1","","","","境界消失","「TRS7」によるアニメ主題歌風のポップロック。音程をずらした歌唱からサビで正常に戻るかっこよさを堪能してほしい。","[プロデュース作品]","J-Pop","J-Pop / Anime Rock","邦楽","女性","TRS7","疾走感、クール、緊張感","./audio/produce/J-pop-TRS7-境界消失.mp3","","trs7",""
"19","1","","1","","Dive in Deep","「Ω5」のロックポップ曲。ギターリフ主導の独特のノリとアグレッシブさが同居した一品。","[プロデュース作品]","J-Pop","J-Pop / Pop Rock","邦楽","女性","Ω5","夜、アグレッシブ、クール","./audio/produce/J-pop-Ω5-Dive in deep 1.mp3","","omega5",""
"20","","","","","Dive in Deep Ⅱ","Dive in Deepの別バージョン。より前に出るギターリフがノリのいいグルーヴを生み出している。","[プロデュース作品]","J-Pop","J-Pop / Pop Rock","邦楽","女性","Ω5","夜、疾走感、Rock ’n’ Roll","./audio/produce/J-pop-Ω5-Dive in deep 2.mp3","","omega5",""
"21","1","","","","Click!","「Ω5」のロックポップ。歯切れのいいギターリフが生み出す軽快なグルーヴが印象に残る一曲。思春期特有の高揚感を切り取っています。","[プロデュース作品]","J-Pop","J-Pop / Pop Rock","邦楽","女性","Ω5","夜、疾走感、Lif-Rock","./audio/produce/J-pop-Ω5-Click! .mp3","","omega5",""
"22","1","","","","ズレたままのHighway","「Ω5」のロックンロール。ズレた感覚を抱えたまま、それでも走り続けようとする心情を表現。","[プロデュース作品]","J-Pop","J-Pop / Pop Rock","邦楽","女性","Ω5","夜、疾走感、Rock ’n’ Roll","./audio/produce/J-pop-Ω5-ズレたままのHighway.mp3","","omega5",""
"23","1","","1","","STILL HERE-まだここにいる","「THE PHASE」のアニメ主題歌風ダークウェーブ曲。ニーチェの言葉「深淵が覗いている」怖さと緊張感を、無機質な音像で描きます。","[プロデュース作品]","J-Pop","J-Pop / Anime Rock","邦楽","男性","The Phase","夜、ダーク、緊張感","./audio/produce/J-pop-STILL HERE-まだここにいる.mp3","","phase","1"
"24","1","","","","Neon Dummy","エッジの効いたギターリフと軽快なビートで進む、都会的ニューウェーブ曲。少し尖った男性ボーカルが、夜の街の違和感を浮かび上がらせます。","[プロデュース作品]","J-Pop","J-Pop / Pop Rock","邦楽","男性","The Phase","疾走感、クール、緊張感","./audio/produce/J-pop-Neon Dummy.mp3","","phase","1"
"24","1","","1","","Wisper of the Shadow feat.Ω5","「THE PHASE」と「Ω５」コラボによるアニメ主題歌風ダークウェーブ曲。「ドラキュラ」をモチーフとしたホラームード満載の曲。","[プロデュース作品]","J-Pop","J-Pop / Anime Rock","邦楽","混声","The Phase","ホラー、クール、男女","./audio/produce/J-pop-Wisper of the Shadow feat.Ω5.mp3","","phase",""
"31","1","","1","","BONES REWRITE THE CODE","ダークな疾走感と気だるい女性ボーカルが交差する、インダストリアルUKロック。ホラーの気配をまといながら鋭く前へ進むビートがかっこいい。お勧めの一曲。","[洋楽 / UK & Western]","Darkwave","Darkwave / Gothic Rock","洋楽","女性","","ダーク、疾走感、不穏","./audio/west/west-BONES REWRITE THE CODE.mp3","","west",""
"25","1","","","","The Theory of Small Goodbyes","80年代UKポップPrefab Sproutをオマージュした知的で少し切ない質感を意識したソフィスティ・ポップ。","[洋楽 / UK & Western]","UK Rock","UK Rock / New Romantic","洋楽","混声","","レトロ、切なさ、都会的","./audio/west/west-The Theory of Small Goodbyes.mp3","","west",""
"30","1","","","","Signal Manners","80年代UK-New Romantic系のリズムと艶やかな男性ボーカルのUKポップロック。バブル期に流行っていた。","[洋楽 / UK & Western]","UK Rock","UK Rock / New Romantic","洋楽","男性","","レトロ、都会的、哀愁","./audio/west/west-Signal Manners.mp3","","west",""
"26","","","","","Silver Lining in the Gray","透明感のある女性ボーカルが心地よい、爽やかなUKポップ。灰色の空に差し込む光のような、瑞々しい浮遊感があります。","[洋楽 / UK & Western]","UK Rock","UK Rock / Dream Pop","洋楽","女性","","瑞々しい、透明感、浮遊感","./audio/west/West-Silver Lining in the Gray.mp3","","west",""
"29","1","1","","","Space_Between_the_Scenes","爽やかなUKポップの中に、癖のあるリズムを織り込んだ一曲。場面と場面のあいだに漂う空気を、軽やかに描きます。","[洋楽 / UK & Western]","UK Rock","UK Rock / Dream Pop","洋楽","女性","","瑞々しい、浮遊感、クール","./audio/west/West-Space_Between_the_Scenes.mp3","","west",""
"27","1","","","","Not your Monster","「フランケンシュタインの怪物」をモチーフにした、ダークなゴシックロック。自分を変えようとする相手への対決姿勢を怪しくアンニュイに歌います。","[洋楽 / UK & Western]","Darkwave","Darkwave / Gothic Rock","洋楽","女性","","ダーク、不穏、対決","./audio/west/west-Not_your_monster.mp3","","west",""
"28","","","","","The_Clock_Keeps_Breathing","「鏡の国のアリス」をモチーフにした、不思議で怪しいゴシックロック。止まらない時間の気配を、冷たい緊張感で描いています。","[洋楽 / UK & Western]","Darkwave","Darkwave / Gothic Rock","洋楽","女性","","ダーク、奇妙、緊張感","./audio/west/west-The_Clock_Keeps_Breathing.mp3","","west",""
"32","1","","","1","Morning in Minato","港の朝を思わせる、メセニー風の爽やかな演奏とハーモニーのインストゥルメンタル。海風のような軽さと、ジャズフュージョンの明るさがあります。","[インストゥルメンタル]","Instrumental","Instrumental / Jazz Fusion","洋楽","混声","","爽やか、海風、ハーモニー","./audio/instrumental/Inst-Morning_in_Minato.mp3","","inst",""
"33","1","","","","Velocity of Glass","メセニー風の美しいギターと柔らかなハーモニーが広がる、リラックスしたインストゥルメンタル。ガラスのような透明感を、ゆったりした時間で描きます。","[インストゥルメンタル]","Instrumental","Instrumental / Jazz Fusion","洋楽","混声","","透明感、リラックス、ハーモニー","./audio/instrumental/Inst-Velocity_of_Glass.mp3","","inst",""
"34","","","","","Level_One_Picnic","レトロゲームの明るさと電子音の楽しさを詰め込んだ、軽快なゲーム音楽風トラック。ショートバージョン。","[Others]","Game","Game / Electronic Pop","邦楽","電子音","","楽しい、レトロ、ゲーム","./audio/others/Other-Level_One_Picnic.mp3","","others",""
"35","1","","1","","Kaibou-chan-Exercise","ホラー漫画をモチーフとした楽曲。インダストリアルなビートに乗って、異様にテンションの高いエアロビインストラクターが盛り上げる。","[Others]","Darkwave","Darkwave / Gothic Rock","洋楽","女性","","ホラー、緊張感、奇妙","./audio/others/Other-Kaibou-chan-Exercise.mp3","","others",""
